City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kahului,40,US,1553230431,69,20.89,-156.47,75.99,16.11
Axim,64,GH,1553230570,100,4.87,-2.24,79.06,8.63
Bluff,8,AU,1553230571,44,-23.58,149.07,90.67,8.86
Bredasdorp,68,ZA,1553229980,82,-34.53,20.04,63.0,1.12
Husavik,0,CA,1553230550,72,50.56,-96.99,33.01,4.0
Cururupu,76,BR,1553230572,94,-1.82,-44.87,76.99,4.5
Qaanaaq,24,GL,1553230572,65,77.48,-69.36,-23.28,10.2
Khatanga,36,RU,1553230572,74,71.98,102.47,-3.3,11.32
Ushuaia,75,AR,1553227200,87,-54.81,-68.31,44.6,9.17
Hobart,75,AU,1553230515,77,-42.88,147.33,68.0,8.05
Punta Arenas,75,CL,1553230395,87,-53.16,-70.91,48.2,9.17
Mataura,88,NZ,1553230204,67,-46.19,168.86,72.0,5.99
Christchurch,0,NZ,1553230386,68,-43.53,172.64,68.0,17.22
Deputatskiy,0,RU,1553230573,64,69.3,139.9,-1.23,3.94
Marawi,36,PH,1553229994,77,8.0,124.29,82.0,7.0
Vangaindrano,64,MG,1553230574,91,-23.35,47.6,78.97,2.71
Sao Filipe,0,CV,1553230574,100,14.9,-24.5,68.8,15.46
Tuktoyaktuk,75,CA,1553227200,85,69.44,-133.03,10.4,10.29
Lebu,20,ET,1553227200,58,8.96,38.73,57.2,3.36
Castro,90,CL,1553227200,100,-42.48,-73.76,53.6,4.7
Rikitea,56,PF,1553230575,97,-23.12,-134.97,79.33,18.37
Sakaraha,88,MG,1553230575,63,-22.91,44.53,78.34,3.71
Isangel,75,VU,1553227200,79,-19.55,169.27,84.2,9.17
Kodiak,1,US,1553230513,33,39.95,-94.76,44.6,4.7
Una,75,BR,1553227200,100,-15.29,-39.07,77.0,4.7
Aklavik,90,CA,1553229600,78,68.22,-135.01,12.2,9.17
San Patricio,0,PY,1553230576,77,-26.98,-56.83,62.23,4.38
Cherskiy,0,RU,1553230576,59,68.75,161.3,-6.63,2.26
Rawson,0,AR,1553230576,60,-43.3,-65.11,50.08,4.27
Avarua,32,CK,1553229000,83,-21.21,-159.78,82.4,3.36
Puerto Ayora,0,EC,1553229055,92,-0.74,-90.35,78.01,3.0
Georgetown,0,GY,1553227200,94,6.8,-58.16,73.4,4.7
Albany,90,US,1553230364,86,42.65,-73.75,41.0,4.7
Hilo,20,US,1553230529,69,19.71,-155.08,73.99,4.7
Atuona,0,PF,1553230578,100,-9.8,-139.03,82.21,15.23
East London,0,ZA,1553227200,93,-33.02,27.91,57.2,3.36
Sitka,24,US,1553229946,70,37.17,-99.65,45.0,1.99
Tilichiki,0,RU,1553230579,84,60.47,166.1,18.13,3.49
Areka,12,ET,1553230579,35,7.07,37.71,74.56,4.5
Katsuura,75,JP,1553227910,58,33.93,134.5,55.4,18.34
Keetmanshoop,0,NA,1553227200,12,-26.57,18.15,73.4,5.82
Mar del Plata,0,AR,1553230580,76,-46.43,-67.52,48.46,7.4
Talnakh,80,RU,1553230580,97,69.49,88.39,21.19,4.05
